log_id,user_id,role,store_id_accessed,query_type,execution_time_ms,rows_returned,queries_in_last_60s,hour_of_day,day_of_week,is_anomaly,anomaly_type
57,8,support_staff,1,UPDATE_CUSTOMER,17,1,2,15.0,1.0,False,
58,10,support_staff,1,SELECT_CUSTOMER,24,7,5,15.0,1.0,False,
59,11,admin,1,UPDATE_STAFF,20,1,5,15.0,1.0,False,
60,12,manager,2,SELECT_REVENUE_REPORT,639,919,9,15.0,1.0,True,performance
61,4,auditor,1,SELECT_RENTAL_AUDIT,215,143,11,15.0,1.0,False,
62,19,support_staff,2,UPDATE_CUSTOMER,15,1,3,15.0,1.0,False,
63,10,support_staff,1,SELECT_RENTAL_STATUS,155,52,8,15.0,1.0,True,performance
64,2,analyst,2,SELECT_RENTAL_SUMMARY,53,92,6,15.0,1.0,True,security
65,21,support_staff,2,SELECT_CUSTOMER,33,4,1,16.0,1.0,False,
66,8,support_staff,1,UPDATE_CUSTOMER,17,1,9,16.0,1.0,False,
67,1,manager,1,SELECT_INVENTORY,82,164,1,16.0,1.0,False,
68,4,auditor,1,SELECT_RENTAL_AUDIT,194,107,11,16.0,1.0,False,
69,12,manager,2,SELECT_STORE_SUMMARY,52,4,13,16.0,1.0,False,
70,6,billing_staff,1,INSERT_PAYMENT,21,1,14,16.0,1.0,False,
71,11,admin,1,SELECT_SYSTEM_LOGS,381,1944,2,17.0,1.0,False,
72,14,analyst,2,SELECT_RENTAL_SUMMARY,48,168,5,17.0,1.0,False,
73,19,support_staff,2,SELECT_CUSTOMER,123,53,3,17.0,1.0,True,performance
74,9,support_staff,1,UPDATE_CUSTOMER,16,1,7,17.0,1.0,False,
75,15,auditor,2,SELECT_RENTAL_AUDIT,176,124,14,2.0,2.0,True,temporal
76,13,analyst,2,SELECT_FILM_DETAILS,25,45,4,8.0,2.0,False,
77,6,billing_staff,1,SELECT_CUSTOMER,21,3,1,8.0,2.0,False,
78,17,billing_staff,2,SELECT_CUSTOMER,22,8,8,8.0,2.0,False,
79,4,auditor,1,SELECT_RENTAL_AUDIT,189,284,3,8.0,2.0,False,
80,4,auditor,1,SELECT_STAFF_ACTIVITY,152,59,5,8.0,2.0,False,
81,16,billing_staff,2,INSERT_PAYMENT,23,1,9,8.0,2.0,False,
82,20,support_staff,2,SELECT_RENTAL_STATUS,34,18,13,8.0,2.0,False,
83,19,support_staff,2,UPDATE_CUSTOMER,14,1,6,8.0,2.0,False,
84,10,support_staff,1,SELECT_RENTAL_STATUS,43,4,4,8.0,2.0,False,
85,7,billing_staff,1,INSERT_PAYMENT,16,1,11,8.0,2.0,False,
86,12,manager,2,SELECT_REVENUE_REPORT,171,332,4,9.0,2.0,False,
87,18,billing_staff,2,SELECT_CUSTOMER,109,49,6,9.0,2.0,True,performance
88,6,billing_staff,1,SELECT_PAYMENT,34,27,12,9.0,2.0,False,
89,10,support_staff,1,SELECT_CUSTOMER,24,5,9,9.0,2.0,False,
90,1,manager,1,SELECT_STORE_SUMMARY,62,4,1,9.0,2.0,False,
91,6,billing_staff,1,SELECT_CUSTOMER,26,8,4,9.0,2.0,False,
92,1,manager,1,SELECT_REVENUE_REPORT,220,364,9,9.0,2.0,False,
93,6,billing_staff,1,SELECT_CUSTOMER,22,6,8,9.0,2.0,False,
94,20,support_staff,2,SELECT_CUSTOMER,24,8,9,9.0,2.0,False,
95,7,billing_staff,1,INSERT_PAYMENT,21,1,5,9.0,2.0,False,
96,22,admin,2,UPDATE_STAFF,21,1,6,9.0,2.0,False,
97,11,admin,1,SELECT_ALL_TABLES,575,2127,12,9.0,2.0,False,
98,7,billing_staff,1,SELECT_PAYMENT,44,2,14,9.0,2.0,False,
99,7,billing_staff,1,SELECT_PAYMENT,39,30,10,9.0,2.0,False,
100,13,analyst,2,SELECT_RENTAL_SUMMARY,55,44,6,10.0,2.0,False,
101,4,auditor,1,SELECT_STAFF_ACTIVITY,166,73,11,10.0,2.0,False,
102,8,support_staff,1,SELECT_CUSTOMER,28,8,4,10.0,2.0,False,
103,19,support_staff,2,SELECT_CUSTOMER,27,6,14,10.0,2.0,False,
104,17,billing_staff,2,SELECT_PAYMENT,34,21,6,10.0,2.0,False,
105,22,admin,2,SELECT_SYSTEM_LOGS,383,369,1,10.0,2.0,False,
106,22,admin,2,SELECT_SYSTEM_LOGS,434,241,9,10.0,2.0,False,
107,20,support_staff,2,SELECT_RENTAL_STATUS,34,16,4,11.0,2.0,False,
108,7,billing_staff,1,INSERT_PAYMENT,16,1,11,11.0,2.0,False,
109,18,billing_staff,2,INSERT_PAYMENT,23,1,2,11.0,2.0,False,
110,16,billing_staff,2,SELECT_CUSTOMER,28,1,10,11.0,2.0,False,
111,2,analyst,1,SELECT_FILM_DETAILS,30,25,7,11.0,2.0,False,
112,21,support_staff,2,SELECT_RENTAL_STATUS,41,17,14,11.0,2.0,False,
113,15,auditor,2,SELECT_STAFF_ACTIVITY,127,29,11,11.0,2.0,False,
114,18,billing_staff,2,SELECT_CUSTOMER,20,4,6,11.0,2.0,False,
115,6,billing_staff,1,INSERT_PAYMENT,20,1,2,12.0,2.0,False,
116,6,billing_staff,1,SELECT_PAYMENT,195,284,1,12.0,2.0,True,performance
117,21,support_staff,2,UPDATE_CUSTOMER,12,1,4,12.0,2.0,False,
118,18,billing_staff,2,SELECT_PAYMENT,40,1,7,12.0,2.0,False,
119,7,billing_staff,1,SELECT_CUSTOMER,26,1,13,12.0,2.0,False,
120,20,support_staff,2,UPDATE_CUSTOMER,15,1,11,12.0,2.0,False,
121,17,billing_staff,2,SELECT_CUSTOMER,75,13,8,12.0,2.0,True,performance
122,20,support_staff,2,SELECT_CUSTOMER,28,5,8,12.0,2.0,False,
123,5,billing_staff,1,SELECT_PAYMENT,39,3,7,12.0,2.0,False,
124,7,billing_staff,1,INSERT_PAYMENT,17,1,8,13.0,2.0,False,
125,17,billing_staff,2,SELECT_CUSTOMER,28,2,9,13.0,2.0,False,
126,4,auditor,1,SELECT_RENTAL_AUDIT,176,248,5,13.0,2.0,False,
127,20,support_staff,2,SELECT_CUSTOMER,34,6,5,13.0,2.0,False,
128,11,admin,1,SELECT_ALL_TABLES,453,1459,2,13.0,2.0,False,
129,6,billing_staff,1,SELECT_CUSTOMER,24,6,8,13.0,2.0,False,
130,13,analyst,2,SELECT_RENTAL_SUMMARY,52,125,3,13.0,2.0,False,
131,21,support_staff,2,UPDATE_CUSTOMER,15,1,1,14.0,2.0,False,
132,21,support_staff,2,UPDATE_CUSTOMER,17,1,5,14.0,2.0,False,
133,3,analyst,1,SELECT_RENTAL_SUMMARY,50,144,7,14.0,2.0,False,
134,21,support_staff,2,SELECT_CUSTOMER,33,8,8,14.0,2.0,False,
135,12,manager,2,SELECT_STORE_SUMMARY,70,2,1,14.0,2.0,False,
136,13,analyst,2,SELECT_RENTAL_SUMMARY,51,25,12,15.0,2.0,False,
137,16,billing_staff,2,INSERT_PAYMENT,16,1,7,15.0,2.0,False,
138,10,support_staff,1,UPDATE_CUSTOMER,16,1,13,15.0,2.0,False,
139,1,manager,1,SELECT_REVENUE_REPORT,193,175,4,15.0,2.0,False,
140,15,auditor,2,SELECT_ALL_PAYMENTS,331,586,9,16.0,2.0,False,
141,12,manager,1,SELECT_INVENTORY,70,97,12,16.0,2.0,True,security
142,20,support_staff,2,UPDATE_CUSTOMER,16,1,9,16.0,2.0,False,
143,9,support_staff,1,UPDATE_CUSTOMER,13,1,2,16.0,2.0,False,
144,15,auditor,2,SELECT_ALL_PAYMENTS,241,157,4,17.0,2.0,False,
145,14,analyst,2,SELECT_FILM_DETAILS,35,17,3,17.0,2.0,False,
146,22,admin,2,SELECT_ALL_TABLES,405,342,5,17.0,2.0,False,
147,13,analyst,2,SELECT_CUSTOMER_HISTORY,79,29,9,17.0,2.0,False,
148,2,analyst,1,SELECT_FILM_DETAILS,26,11,14,17.0,2.0,False,
149,4,auditor,1,SELECT_STAFF_ACTIVITY,153,42,9,17.0,2.0,False,
150,12,manager,2,SELECT_REVENUE_REPORT,200,444,7,17.0,2.0,False,
151,2,analyst,1,SELECT_RENTAL_SUMMARY,45,149,14,17.0,2.0,False,
152,4,auditor,1,SELECT_RENTAL_AUDIT,213,222,8,17.0,2.0,False,
153,8,support_staff,1,UPDATE_CUSTOMER,13,1,5,17.0,2.0,False,
154,15,auditor,2,SELECT_STAFF_ACTIVITY,142,85,9,17.0,2.0,False,
155,11,admin,1,SELECT_ALL_TABLES,424,3692,1,3.0,3.0,True,temporal
156,9,support_staff,1,SELECT_CUSTOMER,34,4,7,3.0,3.0,True,temporal
157,17,billing_staff,2,INSERT_PAYMENT,21,1,9,8.0,3.0,False,
158,19,support_staff,2,SELECT_CUSTOMER,27,7,8,8.0,3.0,False,
159,7,billing_staff,1,INSERT_PAYMENT,17,1,9,8.0,3.0,False,
160,20,support_staff,2,UPDATE_CUSTOMER,17,1,10,8.0,3.0,False,
161,3,analyst,1,SELECT_RENTAL_SUMMARY,56,124,1,8.0,3.0,False,
162,6,billing_staff,1,SELECT_CUSTOMER,24,1,4,8.0,3.0,False,
163,16,billing_staff,2,INSERT_PAYMENT,23,1,1,9.0,3.0,False,
164,5,billing_staff,1,SELECT_CUSTOMER,23,5,5,9.0,3.0,False,
165,22,admin,2,SELECT_ALL_TABLES,1885,39973,2,9.0,3.0,True,performance
166,17,billing_staff,2,SELECT_CUSTOMER,24,9,5,9.0,3.0,False,
167,9,support_staff,1,UPDATE_CUSTOMER,17,1,1,9.0,3.0,False,
168,4,auditor,1,SELECT_STAFF_ACTIVITY,148,83,13,9.0,3.0,False,
169,4,auditor,2,SELECT_ALL_PAYMENTS,272,637,7,9.0,3.0,True,security
170,1,manager,1,SELECT_REVENUE_REPORT,179,307,10,9.0,3.0,False,
171,8,support_staff,1,UPDATE_CUSTOMER,51,4,9,9.0,3.0,True,performance
172,6,billing_staff,1,INSERT_PAYMENT,90,7,10,10.0,3.0,True,performance
173,10,support_staff,1,UPDATE_CUSTOMER,12,1,7,10.0,3.0,False,
174,17,billing_staff,2,INSERT_PAYMENT,22,1,12,10.0,3.0,False,
175,1,manager,1,SELECT_STORE_SUMMARY,69,5,2,10.0,3.0,False,
176,9,support_staff,1,SELECT_RENTAL_STATUS,42,16,2,10.0,3.0,False,
177,12,manager,2,SELECT_INVENTORY,309,757,5,10.0,3.0,True,performance
178,5,billing_staff,1,SELECT_CUSTOMER,26,8,11,10.0,3.0,False,
179,6,billing_staff,1,SELECT_PAYMENT,35,22,11,10.0,3.0,False,
180,5,billing_staff,1,INSERT_PAYMENT,21,1,12,10.0,3.0,False,
181,12,manager,2,SELECT_STORE_SUMMARY,70,3,10,11.0,3.0,False,
182,17,billing_staff,2,SELECT_PAYMENT,44,5,9,11.0,3.0,False,
183,5,billing_staff,1,INSERT_PAYMENT,17,1,11,11.0,3.0,False,
184,10,support_staff,1,SELECT_CUSTOMER,35,2,1,11.0,3.0,False,
185,14,analyst,2,SELECT_RENTAL_SUMMARY,40,44,8,11.0,3.0,False,
186,10,support_staff,1,SELECT_CUSTOMER,35,10,3,11.0,3.0,False,
187,3,analyst,2,SELECT_CUSTOMER_HISTORY,71,28,1,11.0,3.0,True,security
188,19,support_staff,1,SELECT_CUSTOMER,32,6,5,11.0,3.0,True,security
189,4,auditor,1,SELECT_ALL_PAYMENTS,261,735,6,11.0,3.0,False,
190,13,analyst,2,SELECT_CUSTOMER_HISTORY,69,71,5,11.0,3.0,False,
191,19,support_staff,2,UPDATE_CUSTOMER,15,1,3,12.0,3.0,False,
192,16,billing_staff,2,INSERT_PAYMENT,21,1,9,12.0,3.0,False,
193,10,support_staff,1,SELECT_RENTAL_STATUS,41,5,3,12.0,3.0,False,
194,17,billing_staff,2,SELECT_CUSTOMER,23,2,1,12.0,3.0,False,
195,22,admin,2,SELECT_ALL_TABLES,541,2609,4,12.0,3.0,False,
196,18,billing_staff,2,INSERT_PAYMENT,18,1,12,12.0,3.0,False,
197,15,auditor,2,SELECT_RENTAL_AUDIT,167,160,8,12.0,3.0,False,
198,12,manager,2,SELECT_REVENUE_REPORT,184,186,8,13.0,3.0,False,
199,2,analyst,1,SELECT_CUSTOMER_HISTORY,78,51,11,13.0,3.0,False,
200,2,analyst,1,SELECT_FILM_DETAILS,29,30,1,13.0,3.0,False,
201,17,billing_staff,2,SELECT_PAYMENT,41,28,13,13.0,3.0,False,
202,12,manager,2,SELECT_STORE_SUMMARY,66,3,1,13.0,3.0,False,
203,5,billing_staff,1,INSERT_PAYMENT,16,1,13,13.0,3.0,False,
204,20,support_staff,2,UPDATE_CUSTOMER,13,1,1,13.0,3.0,False,
205,21,support_staff,2,SELECT_CUSTOMER,25,4,7,13.0,3.0,False,
206,16,billing_staff,2,SELECT_PAYMENT,33,19,2,13.0,3.0,False,
207,9,support_staff,1,UPDATE_CUSTOMER,13,1,14,13.0,3.0,False,
208,17,billing_staff,2,SELECT_CUSTOMER,22,6,1,13.0,3.0,False,
209,18,billing_staff,2,INSERT_PAYMENT,19,1,13,13.0,3.0,False,
210,21,support_staff,2,SELECT_RENTAL_STATUS,47,7,1,13.0,3.0,False,
211,1,manager,1,SELECT_REVENUE_REPORT,167,351,6,14.0,3.0,False,
212,14,analyst,2,SELECT_RENTAL_SUMMARY,54,89,1,14.0,3.0,False,
213,5,billing_staff,1,SELECT_CUSTOMER,26,8,13,14.0,3.0,False,
214,18,billing_staff,2,INSERT_PAYMENT,19,1,13,14.0,3.0,False,
215,20,support_staff,2,SELECT_RENTAL_STATUS,47,11,4,14.0,3.0,False,
216,7,billing_staff,1,SELECT_CUSTOMER,26,9,12,14.0,3.0,False,
217,1,manager,1,SELECT_INVENTORY,68,151,3,14.0,3.0,False,
218,3,analyst,1,SELECT_CUSTOMER_HISTORY,80,90,2,14.0,3.0,False,
219,7,billing_staff,1,INSERT_PAYMENT,19,1,2,14.0,3.0,False,
220,10,support_staff,1,SELECT_RENTAL_STATUS,38,20,12,15.0,3.0,False,
221,15,auditor,2,SELECT_ALL_PAYMENTS,1388,8920,10,15.0,3.0,True,performance
222,7,billing_staff,1,SELECT_PAYMENT,47,14,5,15.0,3.0,False,
223,20,support_staff,2,UPDATE_CUSTOMER,12,1,13,15.0,3.0,False,
224,16,billing_staff,2,SELECT_CUSTOMER,21,7,5,15.0,3.0,False,
225,15,auditor,2,SELECT_RENTAL_AUDIT,172,143,9,15.0,3.0,False,
226,6,billing_staff,1,SELECT_PAYMENT,43,4,3,15.0,3.0,False,
227,7,billing_staff,1,SELECT_PAYMENT,46,22,11,15.0,3.0,False,
228,14,analyst,2,SELECT_FILM_DETAILS,28,47,1,16.0,3.0,False,
229,12,manager,2,SELECT_STORE_SUMMARY,58,1,5,16.0,3.0,False,
230,2,analyst,1,SELECT_FILM_DETAILS,34,24,12,16.0,3.0,False,
231,2,analyst,1,SELECT_CUSTOMER_HISTORY,92,16,13,16.0,3.0,False,
232,20,support_staff,2,UPDATE_CUSTOMER,15,1,4,16.0,3.0,False,
233,7,billing_staff,1,SELECT_PAYMENT,39,26,14,16.0,3.0,False,
234,18,billing_staff,2,INSERT_PAYMENT,17,1,9,16.0,3.0,False,
235,13,analyst,2,SELECT_RENTAL_SUMMARY,44,144,3,16.0,3.0,False,
236,22,admin,2,SELECT_ALL_TABLES,441,1118,1,17.0,3.0,False,
237,2,analyst,1,SELECT_FILM_DETAILS,35,16,8,17.0,3.0,False,
238,7,billing_staff,1,SELECT_PAYMENT,35,26,11,17.0,3.0,False,
239,6,billing_staff,1,SELECT_PAYMENT,42,5,11,17.0,3.0,False,
240,4,auditor,1,SELECT_ALL_PAYMENTS,302,185,2,1.0,4.0,True,temporal
241,12,manager,2,SELECT_REVENUE_REPORT,182,67,13,4.0,4.0,True,temporal
242,21,support_staff,2,UPDATE_CUSTOMER,17,1,10,8.0,4.0,False,
243,22,admin,2,SELECT_SYSTEM_LOGS,444,821,8,8.0,4.0,False,
244,7,billing_staff,1,SELECT_PAYMENT,40,4,1,8.0,4.0,False,
245,7,billing_staff,1,SELECT_PAYMENT,34,8,12,8.0,4.0,False,
246,5,billing_staff,1,SELECT_PAYMENT,138,182,1,8.0,4.0,True,performance
247,18,billing_staff,2,SELECT_PAYMENT,35,30,13,8.0,4.0,False,
248,5,billing_staff,1,SELECT_CUSTOMER,23,1,9,8.0,4.0,False,
249,8,support_staff,1,SELECT_CUSTOMER,24,6,6,8.0,4.0,False,
250,22,admin,2,UPDATE_STAFF,16,1,3,8.0,4.0,False,
251,18,billing_staff,2,SELECT_PAYMENT,34,2,5,9.0,4.0,False,
252,1,manager,2,SELECT_INVENTORY,57,167,14,9.0,4.0,True,security
253,12,manager,2,SELECT_INVENTORY,65,126,13,9.0,4.0,False,
254,14,analyst,2,SELECT_CUSTOMER_HISTORY,89,67,13,9.0,4.0,False,
255,16,billing_staff,2,INSERT_PAYMENT,16,1,13,9.0,4.0,False,
256,11,admin,1,UPDATE_STAFF,23,1,14,9.0,4.0,False,
257,21,support_staff,2,SELECT_RENTAL_STATUS,41,18,10,9.0,4.0,False,
258,13,analyst,2,SELECT_FILM_DETAILS,25,15,10,10.0,4.0,False,
259,22,admin,2,SELECT_ALL_TABLES,581,4263,3,10.0,4.0,False,
260,8,support_staff,1,SELECT_RENTAL_STATUS,44,17,12,10.0,4.0,False,
261,14,analyst,2,SELECT_RENTAL_SUMMARY,42,166,1,10.0,4.0,False,
262,11,admin,1,SELECT_SYSTEM_LOGS,370,485,11,10.0,4.0,False,
263,15,auditor,2,SELECT_RENTAL_AUDIT,204,209,3,10.0,4.0,False,
264,6,billing_staff,1,SELECT_PAYMENT,36,24,8,10.0,4.0,False,
265,18,billing_staff,2,SELECT_PAYMENT,34,15,1,10.0,4.0,False,
266,16,billing_staff,2,INSERT_PAYMENT,23,1,12,11.0,4.0,False,
267,5,billing_staff,1,INSERT_PAYMENT,18,1,13,11.0,4.0,False,
268,2,analyst,1,SELECT_CUSTOMER_HISTORY,76,35,11,11.0,4.0,False,
269,21,support_staff,2,UPDATE_CUSTOMER,17,1,10,11.0,4.0,False,
270,12,manager,2,SELECT_REVENUE_REPORT,235,374,10,11.0,4.0,False,
271,6,billing_staff,1,SELECT_CUSTOMER,27,4,11,11.0,4.0,False,
272,3,analyst,1,SELECT_CUSTOMER_HISTORY,82,14,1,11.0,4.0,False,
273,2,analyst,1,SELECT_CUSTOMER_HISTORY,87,48,5,12.0,4.0,False,
274,10,support_staff,1,SELECT_RENTAL_STATUS,37,3,14,12.0,4.0,False,
275,5,billing_staff,1,INSERT_PAYMENT,18,1,3,12.0,4.0,False,
276,14,analyst,2,SELECT_CUSTOMER_HISTORY,89,56,11,12.0,4.0,False,
277,13,analyst,2,SELECT_RENTAL_SUMMARY,48,20,2,12.0,4.0,False,
278,12,manager,2,SELECT_INVENTORY,68,100,11,12.0,4.0,False,
279,4,auditor,1,SELECT_ALL_PAYMENTS,295,586,8,13.0,4.0,False,
280,16,billing_staff,2,SELECT_PAYMENT,44,23,3,13.0,4.0,False,
281,22,admin,2,SELECT_ALL_TABLES,555,2032,4,13.0,4.0,False,
282,8,support_staff,1,SELECT_RENTAL_STATUS,42,11,14,13.0,4.0,False,
283,10,support_staff,1,UPDATE_CUSTOMER,12,1,8,13.0,4.0,False,
284,7,billing_staff,1,SELECT_PAYMENT,46,17,11,13.0,4.0,False,
285,18,billing_staff,2,SELECT_CUSTOMER,102,73,10,13.0,4.0,True,performance
286,22,admin,2,SELECT_SYSTEM_LOGS,332,1897,13,13.0,4.0,False,
287,8,support_staff,1,UPDATE_CUSTOMER,14,1,12,14.0,4.0,False,
288,17,billing_staff,2,SELECT_CUSTOMER,22,10,6,14.0,4.0,False,
289,9,support_staff,1,SELECT_CUSTOMER,27,4,3,14.0,4.0,False,
290,8,support_staff,1,UPDATE_CUSTOMER,12,1,2,14.0,4.0,False,
291,12,manager,2,SELECT_INVENTORY,80,92,5,14.0,4.0,False,
292,9,support_staff,1,UPDATE_CUSTOMER,13,1,14,14.0,4.0,False,
293,17,billing_staff,2,SELECT_CUSTOMER,23,8,6,15.0,4.0,False,
294,5,billing_staff,1,SELECT_CUSTOMER,29,5,9,15.0,4.0,False,
295,18,billing_staff,2,SELECT_CUSTOMER,28,2,5,15.0,4.0,False,
296,12,manager,2,SELECT_REVENUE_REPORT,219,150,6,15.0,4.0,False,
297,6,billing_staff,1,INSERT_PAYMENT,18,1,12,15.0,4.0,False,
298,3,analyst,1,SELECT_RENTAL_SUMMARY,53,106,12,15.0,4.0,False,
299,9,support_staff,1,SELECT_RENTAL_STATUS,41,9,5,15.0,4.0,False,
300,3,analyst,1,SELECT_FILM_DETAILS,29,7,11,15.0,4.0,False,
301,14,analyst,2,SELECT_RENTAL_SUMMARY,47,193,11,15.0,4.0,False,
302,13,analyst,2,SELECT_FILM_DETAILS,31,36,13,16.0,4.0,False,
303,8,support_staff,1,SELECT_CUSTOMER,29,7,5,16.0,4.0,False,
304,22,admin,2,SELECT_ALL_TABLES,519,3144,5,16.0,4.0,False,
305,18,billing_staff,2,SELECT_CUSTOMER,25,4,4,16.0,4.0,False,
306,6,billing_staff,1,SELECT_PAYMENT,33,7,4,16.0,4.0,False,
307,21,support_staff,2,SELECT_RENTAL_STATUS,43,16,6,16.0,4.0,False,
308,19,support_staff,2,SELECT_CUSTOMER,35,7,1,17.0,4.0,False,
309,1,manager,1,SELECT_STORE_SUMMARY,50,2,11,17.0,4.0,False,
310,22,admin,2,SELECT_ALL_TABLES,431,4797,3,17.0,4.0,False,
311,5,billing_staff,1,INSERT_PAYMENT,16,1,9,17.0,4.0,False,
312,14,analyst,2,SELECT_RENTAL_SUMMARY,51,78,3,17.0,4.0,False,
313,10,support_staff,1,SELECT_CUSTOMER,33,1,8,17.0,4.0,False,
314,7,billing_staff,1,INSERT_PAYMENT,18,1,2,17.0,4.0,False,
315,2,analyst,1,SELECT_FILM_DETAILS,33,25,3,17.0,4.0,False,
316,14,analyst,2,SELECT_CUSTOMER_HISTORY,82,91,13,0.0,5.0,True,temporal
317,8,support_staff,1,UPDATE_CUSTOMER,17,1,7,3.0,5.0,True,temporal
318,1,manager,1,SELECT_REVENUE_REPORT,201,157,12,8.0,5.0,False,
319,4,auditor,1,SELECT_STAFF_ACTIVITY,149,93,5,8.0,5.0,False,
320,10,support_staff,1,SELECT_RENTAL_STATUS,44,19,8,8.0,5.0,False,
321,8,support_staff,1,SELECT_CUSTOMER,31,6,4,8.0,5.0,False,
322,14,analyst,2,SELECT_CUSTOMER_HISTORY,88,19,8,8.0,5.0,False,
323,18,billing_staff,2,SELECT_PAYMENT,34,22,13,8.0,5.0,False,
324,18,billing_staff,2,SELECT_PAYMENT,32,29,8,8.0,5.0,False,
325,3,analyst,1,SELECT_CUSTOMER_HISTORY,64,80,8,8.0,5.0,False,
326,18,billing_staff,2,INSERT_PAYMENT,16,1,8,8.0,5.0,False,
327,4,auditor,1,SELECT_ALL_PAYMENTS,356,646,14,8.0,5.0,False,
